1000, 404, 413, 414, 414, 414
2000, 1183, 1186, 1182, 1179, 1183
3000, 1534, 1528, 1528, 1536, 1534
4000, 2108, 2109, 2108, 2092, 2108
5000, 2615, 2627, 2555, 2649, 2631
6000, 3021, 3026, 3030, 3051, 3046
7000, 3111, 3111, 3111, 3111, 3111
8000, 3111, 3111, 3111, 3111, 3111
9000, 3111, 3111, 3111, 3111, 3111
10000, 3111, 3111, 3111, 3111, 3111
11000, 3111, 3111, 3111, 3111, 3111
12000, 3111, 3111, 3111, 3111, 3111
13000, 3111, 3111, 3111, 3111, 3111
14000, 3437, 3411, 3370, 3434, 3426
15000, 3812, 3808, 3816, 3794, 3806
16000, 3950, 3950, 3950, 3950, 3950
17000, 3950, 3950, 3950, 3950, 3950
18000, 3950, 3950, 3950, 3950, 3950
19000, 3950, 3950, 3950, 3950, 3950
20000, 3950, 3950, 3950, 3950, 3950
21000, 3950, 3950, 3950, 3950, 3950
22000, 3950, 3950, 3950, 3950, 3950
23000, 3950, 3950, 3950, 3950, 3950
24000, 3950, 3950, 3950, 3950, 3950
25000, 3950, 3950, 3950, 3950, 3950
26000, 3950, 3950, 3950, 3950, 3950
27000, 3950, 3950, 3950, 3950, 3950
28000, 3950, 3950, 3950, 3950, 3950
29000, 3950, 3950, 3950, 3950, 3950
30000, 3950, 3950, 3950, 3950, 3950
31000, 3967, 3957, 4075, 3981, 4073
32000, 4345, 4363, 4359, 4322, 4357
33000, 4676, 4688, 4679, 4570, 4669
34000, 4966, 4967, 4969, 4821, 4967
35000, 5226, 5226, 5226, 5063, 5225
36000, 5472, 5473, 5469, 5306, 5452
37000, 5705, 5705, 5705, 5492, 5705
38000, 5937, 5928, 5932, 5683, 5920
39000, 6173, 6174, 6173, 5843, 6134
40000, 6355, 6356, 6356, 6053, 6339
41000, 6442, 6442, 6442, 6370, 6442
42000, 6442, 6442, 6442, 6442, 6442
43000, 6442, 6442, 6442, 6442, 6442
44000, 6442, 6442, 6442, 6442, 6442
45000, 6442, 6442, 6442, 6442, 6442
46000, 6442, 6442, 6442, 6442, 6442
47000, 6442, 6442, 6442, 6442, 6442
48000, 6442, 6442, 6442, 6442, 6442
49000, 6442, 6442, 6442, 6442, 6442
50000, 6442, 6442, 6442, 6442, 6442
51000, 6442, 6442, 6442, 6442, 6442
52000, 6442, 6442, 6442, 6442, 6442
53000, 6442, 6442, 6442, 6442, 6442
54000, 6442, 6442, 6442, 6442, 6442
55000, 6442, 6442, 6442, 6442, 6442
56000, 6442, 6442, 6442, 6442, 6442
57000, 6442, 6442, 6442, 6442, 6442
58000, 6442, 6442, 6442, 6442, 6442
59000, 6442, 6442, 6442, 6442, 6442
60000, 6442, 6442, 6442, 6442, 6442
