1000, 597, 554, 610, 595, 615
2000, 1254, 1254, 1254, 1250, 1254
3000, 1867, 1871, 1865, 1875, 1870
4000, 2392, 2388, 2385, 2389, 2379
5000, 2824, 2821, 2824, 2824, 2824
6000, 3193, 3220, 3262, 3264, 3252
7000, 3641, 3646, 3642, 3642, 3647
8000, 4060, 4059, 4062, 4054, 4051
9000, 4445, 4441, 4414, 4441, 4446
10000, 4779, 4788, 4730, 4795, 4783
11000, 5113, 5112, 5089, 5115, 5116
12000, 5441, 5443, 5355, 5443, 5428
13000, 5727, 5738, 5607, 5744, 5734
14000, 6023, 6003, 5842, 6027, 6017
15000, 6302, 6252, 6043, 6302, 6296
16000, 6540, 6458, 6289, 6568, 6564
17000, 6790, 6658, 6545, 6799, 6790
18000, 7002, 6905, 6850, 7010, 7009
19000, 7239, 7152, 7128, 7242, 7242
20000, 7466, 7350, 7419, 7473, 7473
21000, 7710, 7586, 7704, 7710, 7710
22000, 7982, 7790, 7983, 7990, 7976
23000, 8249, 7984, 8249, 8254, 8233
24000, 8500, 8173, 8493, 8499, 8498
25000, 8733, 8357, 8726, 8733, 8729
26000, 8956, 8549, 8951, 8958, 8955
27000, 9046, 8851, 9046, 9046, 9046
28000, 9165, 9158, 9166, 9166, 9164
29000, 9382, 9375, 9382, 9381, 9380
30000, 9596, 9590, 9596, 9595, 9596
31000, 9811, 9804, 9812, 9812, 9812
32000, 10000, 10000, 10000, 10000, 10000
33000, 10000, 10000, 10000, 10000, 10000
34000, 10000, 10000, 10000, 10000, 10000
35000, 10000, 10000, 10000, 10000, 10000
36000, 10000, 10000, 10000, 10000, 10000
37000, 10000, 10000, 10000, 10000, 10000
38000, 10000, 10000, 10000, 10000, 10000
39000, 10000, 10000, 10000, 10000, 10000
40000, 10000, 10000, 10000, 10000, 10000
41000, 10000, 10000, 10000, 10000, 10000
42000, 10000, 10000, 10000, 10000, 10000
43000, 10000, 10000, 10000, 10000, 10000
44000, 10000, 10000, 10000, 10000, 10000
45000, 10000, 10000, 10000, 10000, 10000
46000, 10000, 10000, 10000, 10000, 10000
47000, 10000, 10000, 10000, 10000, 10000
48000, 10000, 10000, 10000, 10000, 10000
49000, 10000, 10000, 10000, 10000, 10000
50000, 10000, 10000, 10000, 10000, 10000
51000, 10000, 10000, 10000, 10000, 10000
52000, 10000, 10000, 10000, 10000, 10000
53000, 10000, 10000, 10000, 10000, 10000
54000, 10000, 10000, 10000, 10000, 10000
55000, 10000, 10000, 10000, 10000, 10000
56000, 10000, 10000, 10000, 10000, 10000
57000, 10000, 10000, 10000, 10000, 10000
58000, 10000, 10000, 10000, 10000, 10000
59000, 10000, 10000, 10000, 10000, 10000
60000, 10000, 10000, 10000, 10000, 10000
