SIZE, 192  ,timemm1: 0.016077 s, 880.498600 MFLOPS
SIZE, 320  ,timemm1: 0.032693 s, 2004.588138 MFLOPS
SIZE, 576  ,timemm1: 0.234499 s, 1629.883078 MFLOPS
SIZE, 1088  ,timemm1: 1.947167 s, 1322.858771 MFLOPS
SIZE, 2112  ,timemm1: 35.881816 s, 525.094322 MFLOPS
SIZE, 4160  ,timemm1: 354.607102 s, 406.034146 MFLOPS
SIZE, 8256  ,timemm1: 3540.813296 s, 317.860104 MFLOPS
