1000, 13, 13, 13, 13, 13
2000, 13, 13, 13, 13, 13
3000, 13, 13, 13, 13, 13
4000, 13, 13, 13, 13, 13
5000, 13, 13, 13, 13, 13
6000, 33, 33, 33, 33, 33
7000, 33, 33, 33, 33, 33
8000, 33, 33, 33, 33, 33
9000, 33, 33, 33, 33, 33
10000, 33, 33, 33, 33, 33
11000, 33, 33, 33, 33, 33
12000, 33, 33, 33, 33, 33
13000, 33, 33, 33, 33, 33
14000, 33, 33, 33, 33, 33
15000, 33, 33, 33, 33, 33
16000, 33, 33, 33, 33, 33
17000, 33, 33, 33, 33, 33
18000, 34, 34, 34, 34, 34
19000, 34, 34, 34, 34, 34
20000, 34, 34, 34, 34, 34
21000, 34, 34, 34, 34, 34
22000, 34, 34, 34, 34, 34
23000, 34, 34, 34, 34, 34
24000, 56, 56, 56, 56, 56
25000, 56, 56, 56, 56, 56
26000, 56, 56, 56, 56, 56
27000, 56, 56, 56, 56, 56
28000, 56, 56, 56, 56, 56
29000, 56, 56, 56, 56, 56
30000, 56, 56, 56, 56, 56
