1000, 688, 689, 688, 688, 688
2000, 847, 847, 847, 847, 847
3000, 868, 868, 847, 868, 868
4000, 975, 975, 847, 975, 868
5000, 975, 975, 847, 975, 868
6000, 975, 975, 847, 975, 868
7000, 975, 975, 847, 975, 868
8000, 975, 975, 847, 975, 868
9000, 975, 975, 847, 975, 868
10000, 975, 975, 847, 975, 868
11000, 975, 975, 847, 975, 868
12000, 975, 975, 847, 975, 868
13000, 1246, 1246, 847, 1246, 868
14000, 1246, 1246, 847, 1246, 868
15000, 1281, 1281, 847, 1281, 868
16000, 1281, 1281, 847, 1281, 868
17000, 1281, 1281, 847, 1281, 868
18000, 1281, 1281, 847, 1281, 868
19000, 1281, 1281, 847, 1281, 868
20000, 1281, 1281, 847, 1281, 868
21000, 1281, 1281, 847, 1281, 868
22000, 1281, 1281, 847, 1281, 868
23000, 1281, 1281, 847, 1281, 868
24000, 1281, 1281, 847, 1281, 868
25000, 1281, 1281, 847, 1281, 868
26000, 1281, 1281, 847, 1281, 868
27000, 1281, 1281, 847, 1281, 868
28000, 1281, 1281, 847, 1281, 868
29000, 1281, 1281, 847, 1281, 868
30000, 1281, 1281, 847, 1281, 868
