1000, 632, 616, 625, 632, 635
2000, 1353, 1353, 1350, 1327, 1353
3000, 1677, 1677, 1675, 1677, 1647
4000, 2258, 2251, 2257, 2242, 2258
5000, 2334, 2334, 2334, 2334, 2334
6000, 2334, 2334, 2334, 2334, 2334
7000, 2724, 2727, 2727, 2710, 2717
8000, 3166, 3167, 3170, 3158, 3168
9000, 3560, 3558, 3558, 3557, 3556
10000, 3907, 3906, 3907, 3902, 3908
11000, 4252, 4252, 4242, 4249, 4269
12000, 4523, 4557, 4590, 4583, 4588
13000, 4825, 4900, 4926, 4926, 4927
14000, 5135, 5194, 5197, 5202, 5205
15000, 5459, 5470, 5473, 5468, 5477
16000, 5695, 5745, 5739, 5738, 5744
17000, 6013, 5973, 5942, 5980, 6014
18000, 6202, 6203, 6214, 6216, 6219
19000, 6470, 6440, 6427, 6448, 6470
20000, 6721, 6720, 6609, 6611, 6721
21000, 6930, 6930, 6801, 6838, 6926
22000, 7139, 7145, 6983, 7043, 7140
23000, 7350, 7348, 7162, 7232, 7355
24000, 7539, 7539, 7309, 7419, 7541
25000, 7751, 7744, 7455, 7555, 7743
26000, 7968, 7962, 7588, 7698, 7962
27000, 8181, 8181, 7745, 7843, 8181
28000, 8377, 8377, 7894, 8009, 8377
29000, 8428, 8428, 8163, 8299, 8428
30000, 8558, 8562, 8410, 8559, 8563
31000, 8765, 8764, 8582, 8761, 8760
32000, 8950, 8950, 8745, 8943, 8950
33000, 9112, 9114, 8899, 9105, 9110
34000, 9194, 9194, 9187, 9194, 9194
35000, 9398, 9398, 9390, 9398, 9398
36000, 9584, 9583, 9576, 9577, 9583
37000, 9771, 9771, 9764, 9770, 9771
38000, 9955, 9955, 9947, 9955, 9955
39000, 10000, 10000, 10000, 10000, 10000
40000, 10000, 10000, 10000, 10000, 10000
41000, 10000, 10000, 10000, 10000, 10000
42000, 10000, 10000, 10000, 10000, 10000
43000, 10000, 10000, 10000, 10000, 10000
44000, 10000, 10000, 10000, 10000, 10000
45000, 10000, 10000, 10000, 10000, 10000
46000, 10000, 10000, 10000, 10000, 10000
47000, 10000, 10000, 10000, 10000, 10000
48000, 10000, 10000, 10000, 10000, 10000
49000, 10000, 10000, 10000, 10000, 10000
50000, 10000, 10000, 10000, 10000, 10000
51000, 10000, 10000, 10000, 10000, 10000
52000, 10000, 10000, 10000, 10000, 10000
53000, 10000, 10000, 10000, 10000, 10000
54000, 10000, 10000, 10000, 10000, 10000
55000, 10000, 10000, 10000, 10000, 10000
56000, 10000, 10000, 10000, 10000, 10000
57000, 10000, 10000, 10000, 10000, 10000
58000, 10000, 10000, 10000, 10000, 10000
59000, 10000, 10000, 10000, 10000, 10000
60000, 10000, 10000, 10000, 10000, 10000
